TemplateType=shoes	Version=2017.0306	Las 3 primeras filas son para uso exclusivo de Amazon.com. No modifique ni elimine las 3 primeras filas.								Oferta-Información de ofertas - Estos atributos se utilizan para que los clientes puedan comprar su art?culo en la p?gina web.															Dimensiones-Dimensiones del producto - Estos atributos especifican el tama?o y el peso de un producto.										Descubrimiento-Información de descubrimiento del art?culo - Estos atributos afectan a la forma en que los clientes pueden encontrar su producto en la p?gina web navegando o buscando por Internet.								Im?genes-Información de im?genes - Encontrar? m?s información en la ficha Instrucciones para im?genes.										Cumplimiento-usa esta columna para proporcionar información relacionada con la gestión de tus pedidos, tanto los gestionados por Amazon como los que gestiones t? mismo.							Variantes-Información de variaciones - Rellene estos atributos si su producto est? disponible en diferentes variaciones (por ejemplo, color o potencia eléctrica).				Cumplimiento normativo-Información de cumplimiento normativo - Atributos que sirven para cumplir la legislación de consumo en el pa?s o la región donde se vende el art?culo.	Desagrupado - Estos atributos generan listas de productos con muchos detalles para los compradores.																																	
SKU	Identificador de producto	Tipo de identificador de producto	T?tulo	Marca	Descripción	Tipo de producto	Actualizar o eliminar	N?mero de pieza del fabricante	N?mero de modelo	Estado del producto	Nota sobre el estado del producto	N?mero de art?culos	Precio	Cantidad	Precio en oferta	Fecha de comienzo de la oferta	Fecha de finalización de la venta	N?mero de unidades por paquete	Mensaje de regalo disponible	Envoltorio para regalo disponible	Descatalogado por el fabricante	Tiempo de preparación	Grupo de env?o	Código fiscal del producto	"Unidad de medida del atributo ""Peso del env?o"""	"Unidad de medida del atributo ""Longitud del producto"""	"Unidad de medida del atributo ""Altura del producto"""	"Unidad de medida del atributo ""Anchura del producto"""	Peso del env?o	Longitud del producto	Altura del producto	Ancho del producto	Unidad de medida del peso del producto	Unidad de medida del peso del art?culo	P?blico objetivo	Vi?etas1	Vi?etas2	Vi?etas3	Vi?etas4	Vi?etas5	Nodos de navegación recomendados	Términos de b?squeda	Dirección URL de la imagen principal	Direcciones URL de otras im?genes1	Direcciones URL de otras im?genes2	Direcciones URL de otras im?genes3	Direcciones URL de otras im?genes4	Direcciones URL de otras im?genes5	Direcciones URL de otras im?genes6	Direcciones URL de otras im?genes7	Direcciones URL de otras im?genes8	Dirección URL de la imagen de muestra	Altura del paquete	Ancho del paquete	Longitud del paquete	"Unidad de medida del atributo ""Dimensiones del paquete"""	Peso del paquete	"Unidad de medida del atributo ""Peso del paquete"""	Identificador de centro log?stico	Parentesco	SKU padre	Tipo de relación	Tipo de variación	Pa?s de origen	Departamento	Modelo	A?o del modelo	Producto para adultos	Estilo y ocasiones	Caracter?sticas adicionales	Forma de las gafas	N?mero de bater?as/pilas	Tipo de bater?a/pila	Tipo de bater?a	Peso de la pila de litio	Unidad de medida de la Peso de la pila de litio	Estilo	color_name	Color asociado	size_name	Tipo de material exterior	Colección	Temporada	Ancho del zapato	size_map	Composición de materiales	Tipo de material interior	Material de la suela	Tipo de tacón	Altura del tacón	Altura de la ca?a de la bota	Altura de la plataforma	Tipo de cierre	Nivel de resistencia al agua	Corrección de la pisada	Tipo de superficie	Shaft Height Unit Of Measure	"Unidad de medida del atributo ""talón Altura del producto"""
item_sku	external_product_id	external_product_id_type	item_name	brand_name	product_description	feed_product_type	update_delete	part_number	model	condition_type	condition_note	number_of_items	standard_price	quantity	sale_price	sale_from_date	sale_end_date	item_package_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	fulfillment_latency	merchant_shipping_group_name	product_tax_code	website_shipping_weight_unit_of_measure	item_length_unit_of_measure	item_height_unit_of_measure	item_width_unit_of_measure	website_shipping_weight	item_length	item_height	item_width	item_weight	item_weight_unit_of_measure	target_audience_keywords	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	recommended_browse_nodes	generic_keywords	main_image_url	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	other_image_url7	other_image_url8	swatch_image_url	package_height	package_width	package_length	package_dimensions_unit_of_measure	package_weight	package_weight_unit_of_measure	fulfillment_center_id	parent_child	parent_sku	relationship_type	variation_theme	country_of_origin	department_name	model_name	model_year	is_adult_product	lifestyle	special_features	item_shape	number_of_batteries	battery_type	battery_cell_composition	lithium_battery_weight	lithium_battery_weight_unit_of_measure	style_name	color_name	color_map	size_name	outer_material_type	collection_name	seasons	shoe_width	size_map	material_composition	inner_material_type	sole_material	heel_type	heel_height	shaft_height	platform_height	closure_type	water_resistance_level	pronation_correction	surface_recommendation	shaft_height_unit_of_measure	heel_height_unit_of_measure
fines-ToteBag-BGE-BPJE			I Work Hard So My Cat Can Live A Better life La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPJE				9.99	9999																					Lona, playa, ocio, ultramarinos, org?nico, eco	Biodegradable	Ecológico	No blanqueado	Producto no animal	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, animal, pet, fluffy, cute, love, hug, pawwork, hard, play, hard, sharing, caringnerd, smart, hipster, vintage, awesome	http://79.98.29.171/media/generated_images/253087.png																					Lituania														Beige	Beige	Un tama?o					one size													
fines-ToteBag-BGE-BPJD			Woman Up La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPJD				9.99	9999																					canvas, beach, leisure, grocery, organic, eco	Bio-degradable	Eco-friendly	Non-bleached	Non-animal product	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, fashion, industry, style, flash, feminismnice, cool, beauty, slogan, gloss, sexyface, stylish, fashion, glasses, iconic, lip	http://79.98.29.171/media/generated_images/253097.png																					Lituania														Beige	Beige	Un tama?o					one size													
fines-ToteBag-BGE-BPJB			Please Tell Me Your WI-FI La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPJB				9.99	9999																					Lona, playa, ocio, ultramarinos, org?nico, eco	Biodegradable	Ecológico	No blanqueado	Producto no animal	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, animal, pet, fluffy, cute, love, hug, pawkitten, soft, warm, ball, of, fur, lady, introvertnerd, smart, hipster, vintage, awesome	http://79.98.29.171/media/generated_images/253107.png																					Lituania														Beige	Beige	Un tama?o					one size													
fines-ToteBag-BGE-BPJA			When I Grow Up I Will Be An Astronaut La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPJA				9.99	9999																					Lona, playa, ocio, ultramarinos, org?nico, eco	Biodegradable	Ecológico	No blanqueado	Producto no animal	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, astronaut, space, galaxy, stars, baloonmoon, planet, earth, venera, mars, plutonuniverse, galaxy, jupiter, space, rocket	http://79.98.29.171/media/generated_images/253117.png																					Lituania														Beige	Beige	Un tama?o					one size													
fines-ToteBag-BGE-BPIZ			What's Up? La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPIZ				9.99	9999																					Lona, playa, ocio, ultramarinos, org?nico, eco	Biodegradable	Ecológico	No blanqueado	Producto no animal	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, animal, pet, fluffy, cute, love, hug, pawkitten, soft, warm, ball, of, fur, lady, introvertnerd, smart, hipster, vintage, awesome	http://79.98.29.171/media/generated_images/253127.png																					Lituania														Beige	Beige	Un tama?o					one size													
fines-ToteBag-BGE-BPIY			Humans Are 90% Water Basically Like Cucumbers With Anxiety La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPIY				9.99	9999																					Lona, playa, ocio, ultramarinos, org?nico, eco	Biodegradable	Ecológico	No blanqueado	Producto no animal	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, human, race, sucks, sad, astronauts, fruitsanimals, love, wild, life, gardengood, life, good, vibes, summer, 2017	http://79.98.29.171/media/generated_images/253137.png																					Lituania														Beige	Beige	Un tama?o					one size													
fines-ToteBag-BGE-BPIX			Stop Global Warming La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPIX				9.99	9999																					Lona, playa, ocio, ultramarinos, org?nico, eco	Biodegradable	Ecológico	No blanqueado	Producto no animal	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, air, pollution, earth, problem, climatechange, save, the, nature, CO2, cars, planesships, suck, leave, me, alone	http://79.98.29.171/media/generated_images/253147.png																					Lituania														Beige	Beige	Un tama?o					one size													
fines-ToteBag-BGE-BPIW			Mountains Inverted La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPIW				9.99	9999																					Lona, playa, ocio, ultramarinos, org?nico, eco	Biodegradable	Ecológico	No blanqueado	Producto no animal	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, mountains, calling, alpinism, track, hikingclouds, sunny, weather, happy, up, in, the, airtake, me, to, the, mountains	http://79.98.29.171/media/generated_images/253157.png																					Lituania														Beige	Beige	Un tama?o					one size													
fines-ToteBag-BGE-BPIV			That One Dracula Cosplayer La bolsa de asas de la lona de algodón	Finest Prints	Un bolso para las compras, ir a la playa y llevar cosas alrededor.	Handbag	Update		fines-ToteBag-BGE-BPIV				9.99	9999																					Lona, playa, ocio, ultramarinos, org?nico, eco	Biodegradable	Ecológico	No blanqueado	Producto no animal	Durable	1571263031	Lona, playa, ocio, el hacer compras, ultramarinos, org?nico, eco, inconformista, vegano, blood, drink, killer, sadism, rippedvintage, hipster, drawing, cool, gift, awesomegood, life, good, vibes, summer, 2017	http://79.98.29.171/media/generated_images/253167.png																					Lituania														Beige	Beige	Un tama?o					one size													
